Rm_RoomNo,Rm_Room,Rm_Building,Rm_Capacity,Rm_RoomType
159,TBA COTBM 11,,0,
160,TBA COTBM 12,,0,
161,TBA COTBM 13,,0,
162,TBA COTBM 14,,0,
163,TBA COTBM 15,,0,
164,TBA COTBM 16,,0,
165,TBA COTBM 17,,0,
166,TBA COTBM 18,,0,
167,TBA COTBM 19,,0,
168,TBA COTBM 20,,0,
169,Old Dorm 1.,,0,
170,Old Dorm 2.,,0,
171,Old Dorm 3.,,0,
172,Floating 1.,,0,
173,Floating 2.,,0,
174,Floating 3.,,0,
175,Centrum 1.,,0,
176,Centrum 2.,,0,
177,Centrum 3.,,0,
178,TBA CME 1,,0,
179,TBA CME 2,,0,
180,TBA CME 3,,0,
181,TBA CME 4,,0,
182,TBA CME 5,,0,
183,TBA CME 6,,0,
184,TBA CME 7,,0,
185,TBA CME 8,,0,
186,TBA CME 9,,0,
187,TBA CME 10,,0,
188,Old Canteen 1,,0,
189,VR-COT 1,,0,
190,VR-COT 2,,0,
191,VR-COT 3,,0,
192,VR-COT 4,,0,
193,VR-COT 5,,0,
194,VR-COT 6,,0,
195,VR-COT 7,,0,
196,VR-COT 8,,0,
197,VR-COT 9,,0,
198,VR-COT 10,,0,
199,VR-COT 11,,0,
200,VR-COT 12,,0,
201,VR-COT 13,,0,
202,VR-COT 14,,0,
203,VR-COT 15,,0,
204,VR-FabLab,,0,
205,VR-COE 1,,0,
206,VR-COE 2,,0,
207,VR-COE 3,,0,
208,VR-COE 4,,0,
209,VR-COE 5,,0,
210,COE Rm. 1,New COEng Building,0,
211,COE Rm. 2,New COEng Building,0,
212,COE Rm. 3,New COEng Building,0,
213,COE Rm. 4,New COEng Building,0,
214,COE Rm. 5,New COEng Building,0,
215,COE Rm. 6,New COEng Building,0,
216,COE Rm. 7,New COEng Building,0,
217,Physics LAB,New COEng Building,0,
218,CE LAB,New COEng Building,0,
219,Comp LAB 1 & 2,New COEng Building,0,
220,EE LAB,New COEng Building,0,
221,IE LAB,New COEng Building,0,
222,ME LAB,New COEng Building,0,
